2026-08-22 13:09:57 | INFO     | rss_downloader.services  :  86 - 开始重新配置下载器...
2026-08-22 13:09:57 | WARNING  | rss_downloader.services  : 145 - 未配置任何下载器，无法下载内容
2026-08-22 13:09:58 | INFO     | rss_downloader           :  53 - 启动 Web 界面: http://127.0.0.1:8000
2026-08-22 13:09:58 | INFO     | rss_downloader.config    : 228 - 正在监控配置文件: C:\Users\Admin\.config\rss-downloader\config.yaml
2026-08-22 13:09:58 | INFO     | logging                  :1744 - Started server process [2568]
2026-08-22 13:09:58 | INFO     | logging                  :1744 - Waiting for application startup.
2026-08-22 13:09:58 | INFO     | rss_downloader.main      : 180 - 共获取到 0 个条目，匹配到 0 个条目，成功添加 0 个下载任务。
2026-08-22 13:09:58 | INFO     | logging                  :1744 - Application startup complete.
2026-08-22 13:09:58 | INFO     | logging                  :1744 - Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-08-22 13:10:06 | INFO     | logging                  :1744 - 127.0.0.1:60226 - "GET / HTTP/1.1" 200
2026-08-22 13:10:06 | INFO     | logging                  :1744 - 127.0.0.1:60226 - "GET /static/css/output.css HTTP/1.1" 200
2026-08-22 13:10:06 | INFO     | logging                  :1744 - 127.0.0.1:60226 - "GET /favicon.ico HTTP/1.1" 404
2026-08-22 13:11:21 | INFO     | logging                  :1744 - Shutting down
2026-08-22 13:11:21 | INFO     | logging                  :1744 - Waiting for application shutdown.
2026-08-22 13:11:21 | INFO     | logging                  :1744 - Application shutdown complete.
2026-08-22 13:11:21 | INFO     | logging                  :1744 - Finished server process [2568]
2026-08-22 13:11:21 | INFO     | rss_downloader           :  66 - 程序被用户中断
2026-08-22 13:11:21 | INFO     | rss_downloader.services  : 165 - 服务已关闭。
2026-08-22 13:26:27 | INFO     | rss_downloader.services  :  86 - 开始重新配置下载器...
2026-08-22 13:26:28 | INFO     | logging                  :1744 - HTTP Request: POST http://127.0.0.1:6800/jsonrpc "HTTP/1.1 200 OK"
2026-08-22 13:26:28 | SUCCESS  | rss_downloader.downloaders:  72 - Aria2 连接成功
2026-08-22 13:26:28 | INFO     | rss_downloader           :  53 - 启动 Web 界面: http://127.0.0.1:8000
2026-08-22 13:26:28 | INFO     | rss_downloader.config    : 228 - 正在监控配置文件: C:\Users\Admin\.config\rss-downloader\config.yaml
2026-08-22 13:26:28 | INFO     | logging                  :1744 - Started server process [3564]
2026-08-22 13:26:28 | INFO     | logging                  :1744 - Waiting for application startup.
2026-08-22 13:26:28 | INFO     | rss_downloader.main      : 163 - 处理 RSS 源: Example (https://mikanani.me/RSS/MyBangumi?token=lvtK1%2bAbVI%2fUdaap3iVWMA%3d%3d)
2026-08-22 13:26:28 | INFO     | rss_downloader.parser    :  68 - 开始获取 RSS 源: Example
2026-08-22 13:26:28 | INFO     | logging                  :1744 - Application startup complete.
2026-08-22 13:26:28 | INFO     | logging                  :1744 - Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
